y , x_1 , x_2 , x_3 , x_4, x_5 , x_6 ,x_7, x_8
343,0,52.8,811.7,2.11,220,261,87,1.8
356,1,52.8,811.7,2.11,220,261,87,1.8
344,0,50,821.3,2.11,223,260,87,16.6
356,1,50,821.3,2.11,223,260,87,16.6
352,0,47.2,832,2.09,221,261,92,23
361,1,47.2,832,2.09,221,261,92,23
372,0,47,831.3,2.26,190,323,75,25.1
355,1,47,831.3,2.26,190,323,75,25.1
375,0,48.3,836.8,2.47,180,364,71,26.1
359,1,48.3,836.8,2.47,180,364,71,26.1
364,0,44.7,808.3,1.41,180,300,64,20
357,1,44.7,808.3,1.41,180,300,64,20
368,0,55.7,808.7,1.44,176,299,64,20.5
360,1,55.7,808.7,1.44,176,299,64,20.5
372,0,52.8,813.2,1.96,175,301,75,17.3
352,1,52.8,813.2,1.96,175,301,75,17.3
